угол;Corner;
локально-неустойчивая задача;Locally unstable problem;
локально-неустойчивая;Locally unstable;
логическая коньюнкция;logical conjunction;
логарифмы с защитой 0;Logarithms with protection 0;
логарифмическая спираль;Logarithmic spiral;
линейное уравнение;Linear equation;
линейное звено с переменным ограничением;Linear link with variable limit;
линейновая;Linear;
линейная и сплайновая интерполяция;Linear and spline interpolation;
лачх и фчх;LFC and FFC;
лачх;LACHH;
лагорифмы с защитой от нуля;Zero-protected logarithms;
лагорифмы с;Lagorithms with;
кусочно-постоянная функция;Piecewise constant function;
куб. сплайнами;Cube. splines;
ку=0.00001;Ku=0.00001;
кс=0.05;Ks=0.05;
коэффициентов;coefficients;
коэффициент 2;Factor 2;
коэффициент 1;Factor 1;
коэффициент;coefficient;
кохлеоида;Cochleoid;
коррекция;Correction;
корректирующих устройств;corrective devices;
корни нормальных полиномов;Roots of normal polynomials;
корни геометрических полиномов;Roots of geometric polynomials;
координаты по осям;Axial coordinates;
координаты;Coordinates;
координата, y(t);The coordinate, y(t);
координата;Coordinate;
координат;coordinates;
коньюнкция умножением;Conjunction by multiplication;
коньюнкция минимум;Conjunction minimum;
конец цикла;End of the cycle;
команда сброса;Reset command;
команда;Team;
количество машин, шт;Number of cars, pcs;
количество задаваемых строк (2);Number of specified lines (2);
количество задаваемых строк (1);Number of specified lines (1);
кн;KN;
ключ ручной;Manual key;
клотоида;Clotoid;
кластеризация при отсутствии информации;Clustering in the absence of information;
кластеризация при отсутсвии;Clustering in the absence;
кластеризация при наличии информации;Clustering when information is available;
кластеризация при наличии;Clustering if available;
клапана;valve;
кинетика;Kinetics;
квантования;quantization;
квантование;Quantization;
кв;HF;
кi;Who;
кd;Kd;
к=1/n ред.;k=1/n ed.;
к=1;K=1;
к=;K=;
к-т приведения момента от нагрузки;torque reduction torque from load;
к мотору;k engine;
к;TO;
итерациям;iterations;
итерации;iterations;
испытательный;Test;
использование локальных переносов;Using local transfers;
информации о кличестве кластеров;information about the number of clusters;
инфицированных;infected;
интерполяция куб.сплайнами;Interpolation by cubic splines;
интерполяций;interpolations;
интерполяции;interpolation;
интерполированное значение 2;Interpolated value 2;
интерполированное значение 1;Interpolated value 1;
интерполированное значение;Interpolated value;
интерполированное;Interpolated;
интегрирования;integration;
интеграторы со сбросом и ограничением на неявном методе;Integrators with reset and limitation on an implicit method;
интеграторов в схеме.;integrators in the circuit.;
интегратор с ограничением и сбросом;Integrator with limit and reset;
интегратор с;Integrator with;
интегральная составляющяя регулятора;Integral component of the regulator;
инженер: ходаковский в.в.;Engineer: Khodakovsky V.V.;
импульсов;impulses;
импульсный сигнал ошибки;Pulse error signal;
импульсный;Pulse;
импульс с;Impulse with;
импульс длительности не более заданной;Pulse duration no more than specified;
имитация;Imitation;
или третья;or third;
или вторая;or second;
иизменение коэффициентов усиления;Changing Gains;
измерения;measurements;
изменения;changes;
изменение параметров фазификации в ходе моделирования;Changing phasing parameters during simulation;
изменение параметров;Changing settings;
изменение коэффициентов усиления;Changing Gains;
изменение коэффициентов регулятора;Changing controller coefficients;
изменение;Change;
идентифицируемое;Identifiable;
идеальное запаздывание аппроксимированное рядом паде;Ideal delay approximated by Padé series;
идеальное;perfect;
и сплайновая;and spline;
и сбросом;and reset;
и неустойчивости на примере задачи vdpol;and instability using the example of the VDPOL problem;
и насыщенного входного сигнала;and saturated input signal;
и настройки данного блока не окажут влияния на расчёт.;and the settings of this block will not affect the calculation.;
и её распаковка по строкам;and unpacking it line by line;
значения координат по осям;Axis coordinate values;
значение функции по итерациям;Function value over iterations;
значение текущего времени переноса субстанции через участок;The value of the current time of transfer of the substance through the area;
значение текущего;Current value;
значение сигнала, x1;Signal value, x1;
значение сигнала;Signal value;
значение переходного процесса, y(x);Transient value, y(x);
значение на выходе из участок транспортировки;Value at the exit from the transportation section;
значение на входе в участок транспортировки;Value at the entrance to the transportation section;
значение величины, y(t);Value of quantity, y(t);
значение величины;Value value;
значение велечины;Value value;
значение аргумента;Argument value;
значение y(t);Value y(t);
значение x2(t);x2(t) value;
значение x1(t);x1(t) value;
значение u(t);Meaning u(t);
значение cos(x);cos(x) value;
значаение величины;Value value;
звено;unit;
защитой от нуля;zero protection;
запоминание;Memorization;
заполненный;Filled;
запас по фазе, град.;Record by phase, city.;
запас по фазе;Phase margin;
запаздывание на период квантования;Delay by quantization period;
запаздывание идеальное;Lag is perfect;
запаздывание;Lag;
задержка на период квантования и экстраполятор;Quantization period delay and extrapolator;
задаёт целевую;sets the target;
задаче прыгающего мячика.;bouncing ball problem.;
задаче прыгающего мячика;bouncing ball problem;
задача о 100 узниках и 100 ящиках;Problem of 100 prisoners and 100 boxes;
задача двух осциллирующих масс с;Problem of two oscillating masses with;
задача аренсторфа;Arenstorff problem;
задача vdpol;VDPOL task;
задача simdif;SimDif task;
задача rober;ROBER task;
задача plate;PLATE task;
задача pendulum (маятник);Pendulum problem (pendulum);
задача orego;OREGO task;
задача hires;HIRES task;
задача cusp;CUSP task;
задача burgers;Burgers task;
задача bruss;BRUSS task;
задача beam;BEAM task;
задатчик;Tasker;
заданое значение;Set value;
задано нижнее ограничение 0 по координате;the lower limit is set to 0 along the coordinate;
заданное;given;
задание 2 и 3-й строки системы;Setting the 2nd and 3rd lines of the system;
задание 1-й строки системы;Setting the 1st line of the system;
задание;exercise;
загрузчик dll;DLL Loader;
загрузчик;Loader;
зависимость d1 от k1;Dependence of D1 on k1;
жесткий осциллятор;Hard Oscillator;
жесткая задача, сложная;Tough task, difficult;
если на схеме стоит данный блок,;If this block is on the diagram,;
если на схеме стоит блок;if there is a block on the diagram;
дпт выход 2;DPT Output 2;
дпт выход 1;DPT Output 1;
дпт;DPT;
доступ к 3 битам вектора по 3-битному ключу;Access 3 bits of a vector using a 3-bit key;
дополниительной детекцией пересечений;additional intersection detection;
для решения неявными методами;for solving by implicit methods;
для корректного детектирования;For correct detection;
для блока шим;for the PWM block;
длина l = 1000;Length L = 1000;
диференциальная составляющяя регулятора;Differential component of the regulator;
дискретный сигнал;Discrete signal;
дискретный пид-регулятор с компенсацией эффекта насыщения;Discrete PID controller with saturation compensation;
дискретный пид регулятор;Discrete PID controller;
дискретный;discrete;
дискретная передаточная ф-я;Discrete transmission function;
дискретная передаточна функция;Discrete transfer function;
дискретная задержка и экстраполятор;Discrete delay and extrapolator;
дискретная;Discrete;
дис;DIS;
динамическая выборка подвектора из общего вектора;Dynamic sampling of a subvector from a common vector;
детекция событий при помощи блока;Event detection using a block;
детекция;Detection;
детекции пересечений, без ограничений;intersection detection, no restrictions;
детектировать 2 события:;detect 2 events:;
десятичный;Decimal;
дельтоид;Deltoid;
двумерная линейная интерполяция в скрипте;2D linear interpolation in script;
двумерная линейная интерполяция;2D linear interpolation;
двигатель пт;PT motor;
дб;db;
данный метод решения позволяет задавать коэффициенты системы с разных точек схемы.;This solution method allows you to set system coefficients from different points of the circuit.;
графики уровня воды в баке;Tank water level charts;
графики уровня;Level charts;
графики работы блока;Block operating schedules;
графики работы;Opening hours;
графики плотности потока и скорости на участке трассы;Graphs of flow density and speed along the route section;
графики плотности потока и скорости на светофорном участке;Graphs of flow density and speed at a traffic light section;
графики переходного;Transition charts;
графики переменных;Variable graphs;
графики выходных сигналов;Output graphs;
графики выходного сигнала регулятора;Regulator output signal graphs;
графики выходного сигнала;Output graphs;
графики в.с. регулятора с компенсацией;Graphs V.S. regulator with compensation;
графики в.с. регулятора без компенсации;Graphs V.S. regulator without compensation;
графики x1(t) и x4(t);Graphs x1(t) and x4(t);
графики;Charts;
график целевого уровня воды;Target water level chart;
график фактического уровня воды;Actual water level graph;
график уровня воды в баке;Tank water level chart;
график уровня;Level chart;
график сигналов;Signal chart;
график расхода обратного тока;Reverse current consumption graph;
график расхода;Consumption schedule;
график производной на участке идентификации;Graph of the derivative on the identification section;
график переходного процесса;Transition graph;
график задающего сигнала субмодели;Submodel driving signal graph;
график дельтоида;Deltoid graph;
график выходных значений регуляторов;Graph of regulator output values;
график выходного сигнала;Output graph;
график y(t),g(t);Graph y(t),g(t);
график u(x);graph of u(x);
график q(t), рад.;Graph q(t), rad.;
график q;Graph q;
график g(t), y(t);Graph g(t), y(t);
график eps(t), рад.;Graph eps(t), rad.;
график 99;Schedule 99;
график 98;Schedule 98;
график 97;Schedule 97;
график 96;Schedule 96;
график 95;Schedule 95;
график 94;Schedule 94;
график 93;Schedule 93;
график 92;Schedule 92;
график 91;Schedule 91;
график 90;Schedule 90;
график 9;Schedule 9;
график 89;Schedule 89;
график 88;Schedule 88;
график 87;Schedule 87;
график 86;Schedule 86;
график 85;Schedule 85;
график 84;Schedule 84;
график 83;Schedule 83;
график 82;Schedule 82;
график 81;Schedule 81;
график 80;Schedule 80;
график 8;Schedule 8;
график 79;Schedule 79;
график 78;Schedule 78;
график 77;Schedule 77;
график 76;Schedule 76;
график 75;Schedule 75;
график 74;Schedule 74;
график 73;Schedule 73;
график 72;Schedule 72;
график 71;Schedule 71;
график 70;Schedule 70;
график 7;Schedule 7;
график 69;Schedule 69;
график 68;Schedule 68;
график 67;Schedule 67;
график 66;Schedule 66;
график 65;Schedule 65;
график 64;Schedule 64;
график 63;Schedule 63;
график 62;Schedule 62;
график 61;Schedule 61;
график 60;Schedule 60;
график 6;Schedule 6;
график 59;Schedule 59;
график 58;Schedule 58;
график 57;Schedule 57;
график 56;Schedule 56;
график 55;Schedule 55;
график 54;Schedule 54;
график 53;Schedule 53;
график 52;Schedule 52;
график 51;Schedule 51;
график 50;Schedule 50;
график 5;Schedule 5;
график 49;Schedule 49;
график 48;Schedule 48;
график 47;Schedule 47;
график 46;Schedule 46;
график 45;Schedule 45;
график 44;Schedule 44;
график 43;Schedule 43;
график 42;Schedule 42;
график 41;Schedule 41;
график 40;Schedule 40;
график 4;Schedule 4;
график 39;Schedule 39;
график 38;Schedule 38;
график 37;Schedule 37;
график 36;Schedule 36;
график 35;Schedule 35;
график 34;Schedule 34;
график 33;Schedule 33;
график 32;Schedule 32;
график 31;Schedule 31;
график 30;Schedule 30;
график 3;Schedule 3;
график 29;Schedule 29;
график 28;Schedule 28;
график 27;Schedule 27;
график 26;Schedule 26;
график 25;Schedule 25;
график 24;Schedule 24;
график 23;Schedule 23;
график 22;Schedule 22;
график 21;Schedule 21;
график 20;Schedule 20;
график 2;Schedule 2;
график 19;Schedule 19;
график 18;Schedule 18;
график 17;Schedule 17;
график 16;Schedule 16;
график 15;Schedule 15;
график 14;Schedule 14;
график 13;Schedule 13;
график 12;Schedule 12;
график 11;Schedule 11;
график 103;Chart 103;
график 102;Chart 102;
график 101;Chart 101;
график 100;Chart 100;
график 10;Chart 10;
график 1;Schedule 1;
годограф;Hodograph;
вычисление;Calculation;
выходы релейных блоков;Relay block outputs;
выходы;Exits;
выходных сигналов;output signals;
выходные сигналы;Output signals;
выходной темп с моста;Output tempo from bridge;
выходной сигнал;Output signal;
выходной и входной темп с/на мост;Output and input tempo from/to bridge;
выходной;Day off;
выходное значение, y(x);Output value, y(x);
выходное значение;Output value;
выходного сигнала;output signal;
выходного вала;output shaft;
выходная;day off;
выход экстраполятора;Extrapolator output;
выход циклограммы;Pattern output;
выход системы;System output;
выход интегратора;Integrator output;
выход дискретного запаздывания;Discrete Lag Output;
выход апериодического звена при постоянном воздействии;Output of aperiodic link under constant action;
выход dll;DLL output;
выход 2;Exit 2;
выход 1;Output 1;
выход;Exit;
вых. порт2;exit port2;
вых. порт1;exit port1;
вых. порт;exit port;
выезда - выезд начинается с 31 сек;departure - departure starts at 31 sec;
выезд;Departure;
выбор номера ненулевого элемента и case;Selecting the number of a non-zero element and CASE;
въезд;Entry;
входы оператора сравнения;Comparison operator inputs;
входы блоков можно не соединять,;The block inputs do not need to be connected,;
входы;Inputs;
входные сигналы;Input signals;
входные данные;Input data;
входной темп на мост;Entry temp to bridge;
входной сигнал одновибратора;Single-shot input signal;
входной сигнал;Input signal;
входной и выходной сигналы;Input and output signals;
входной и выходной;Input and output;
входной;Input;
входная;entrance;
вход системы;System input;
вход интегратора;Integrator input;
вход блока;Block input;
вход 3;Entrance 3;
вход 1[0] - вход 2[0];Input 1[0] - Input 2[0];
вх.порт;Input port;
вх. порт, q;input port, q;
вх. порт;input port;
время, сек;Time, sec;
время, с;Time, s;
время, t(сек);Time, t(sec);
время, t( сек);Time, t(sec);
время, t (сек);Time, t (sec);
время, c;Time, s;
время цикла;Cycle time;
время пребывания субстанции в пределах участка транспортировки;The residence time of the substance within the transportation area;
время пребывания;Stay time;
время выполнения, сек;Execution time, sec;
время t, с;Time t, s;
время t, дней;Time t, days;
временной сдвиг, с;time shift, s;
времени переноса;transfer time;
восприимчивых;susceptible;
возмущающий момент;Disturbing moment;
воздейтсвие;impact;
воздействие;impact;
воды в баке;water in the tank;
внутри та же схема;Same layout inside;
вложенный метод;Nested method;
включения;inclusion;
включение vout;Enabling Vout;
вкл;incl;
вида;the species;
взаимной корреляции;cross correlation;
вехняя граница;Upper limit;
ветви;branches;
весовой;Weight;
вес;weight;
верхняя парабола;Upper parabola;
верхняя граница зоны возврата;Upper limit of the return zone;
верхней;top;
вероятности;probabilities;
векторные блоки;Vector blocks;
вектора;vector;
вектор правых частей;Vector of right parts;
ван-дер-поль;Van der Pol;
вала нагрузки;load shaft;
вала двигателя;motor shaft;
в процессе расчета;during the calculation process;
в противном случае решение задаваемой системы будет производиться совместно с общей системой проекта,;Otherwise, the solution to the specified system will be carried out jointly with the general system of the project,;
в приведённом примере первая строка системы задаётся в блоке equkoefs1, а 2 и 3 в блоке equkoefs3.;In the example given, the first line of the system is specified in the equkoefs1 block, and 2 and 3 in the equkoefs3 block.;
в плоскости z-y;in the Z-Y plane;
в плоскости y-z;in the Y-Z plane;
в плоскости x-z;in the X-Z plane;
в плоскости x-y;in the X-Y plane;
в мм винта;in mm screw;
в координатах y-z;in Y-Z coordinates;
в координатах x-z;in X-Z coordinates;
в координатах x-y;in X-Y coordinates;
в данном примере производитсяъ;In this example, we produce;
бсс;FSU;
бсд;BSD;
брюсселятор;Brusselator;
бру-42;BRU-42;
бру-22;BRU-22;
блоков;blocks;
блока, подключенного к его входу.;block connected to its input.;
блока;block;
блок экстраполятор;Extrapolator block;
блок уточнения пересечений - тест элемента шим;Intersection clarification block - PWM element test;
блок уточнения пересечений - тест с квантованием;Intersection refinement block - test with quantization;
блок уточнения пересечений;Intersection refinement block;
блок ключ-4;Block Key-4;
блок ключ-1;Block Key-1;
блок ключ-0;Block Key-0;
блок детекции событий;Event detection block;
блок детекции пересечений;Intersection detection block;
без компенсации эффекта насыщения;without saturation compensation;
без использования блока детекции;without using a detection unit;
аренсторф;Ahrenstorff;
аргумент 2;Argument 2;
аргумент 1;Argument 1;
аналитическое решение;Analytical solution;
аналитическое;Analytical;
алгоритм управления, подготовленный для генерации кода (в dll);Control algorithm prepared for code generation (in DLL);
алгоритм управления светофорами;Traffic light control algorithm;
алгоритм идентифкации апериодического звена 1-го порядка;Algorithm for identifying aperiodic 1st order link;
активного;active;
адаптор;Adapter;
адаптируемая система;Adaptable system;
адаптивный регулятор с эталонной моделью;Adaptive controller with reference model;
адаптивный пи-регулятор (без испытательного сигнала);Adaptive PI controller (without test signal);
адаптивный пи-регулятор;Adaptive PI controller;
адаптивный пи регулятор с пультом 3;Adaptive PI controller with remote control 3;
адаптивный пи регулятор с пультом 2;Adaptive PI controller with remote control 2;
адаптивный пи регулятор с пультом 1;Adaptive PI controller with remote control 1;
адаптивный пи регулятор 3;Adaptive PI controller 3;
адаптивный пи регулятор 2;Adaptive PI controller 2;
адаптивный пи регулятор 1;Adaptive PI controller 1;
адаптивный метод;Adaptive method;
адаптивного пид- регулятора;adaptive PID controller;
адаптивного пи-регулятора и эталона;adaptive PI controller and reference;
адаптации;adaptation;
автоматически соединены с выходом;automatically connected to the output;
авт;AUTO;
ρ_ст/β_эфф,;ρ_st/β_eff,;
ρ_ст, ρ_реак, n_отн;ρ_st, ρ_react, N_rel;
ρ/β_эфф,;ρ/β_eff,;
γ    = 0.1   - коэффициент интенсивности выздоровления (единиц в день на 1 чел).;γ = 0.1 - recovery intensity coefficient (units per day per 1 person).;
β    = 0.001 - коэффициент интенсивности контактов индивидов;β = 0.001 - coefficient of intensity of contacts between individuals;
y7,y8 на интервале [0, 4];y7,y8 to intervals [0, 4];
y1,y2,y4,y5,y6 на интервале [0, 4];y1,y2,y4,y5,y6 on interval [0, 4];
y (пид-регулятор);y (PID controller);
y (пид-регулятор с компенсацией эффекта насыщения);y (PID controller with saturation compensation);
x1(t) и x4(t);x1(t) и x4(t);
wн.ч.(р);Wn.ch.(r);
valve1 : описание;valve1 : Description;
u огр;in ogr;
tи;you;
sir-модель эпидемии - калибровка;sir epidemic model - calibration;
sir-модель эпидемии;SIR epidemic model;
sir - модель эпидемии;SIR - epidemic model;
s(0) = 1000  - начальное число восприимчивых;S(0) = 1000 - initial number of susceptible;
rst-регулятор;RST regulator;
rms-значение;RMS value;
qзад;qzad;
n_норм;N_norm;
k=1/jя;k=1/Jя;
ii комплект шрп;II set of ShRP;
i(0) = 1     - начальное число заболевших;I(0) = 1 - initial number of sick people;
i комплект шрп;And a set of ŠRP;
goto центр;Goto center;
akzo nodel диффузия;Akzo Nodel diffusion;
_эрк_1;_ERK_1;
_рп4-у_1;_RP4-U_1;
_рзд-12_1;_RZD-12_1;
_бсс_1;_BSS_1;
_бсд_2;_BSD_2;
_бсд_1;_BSD_1;
_бру-42-2;_BRU-42-2;
_бру-42-1;_BRU-42-1;
_бру-22-2;_BRU-22-2;
_бру-22-1;_BRU-22-1;
5 - открывать быстро;5 - open quickly;
4 - открывать медленно;4 - open slowly;
3 - растет;3 - growing;
3 - положительная;3 - positive;
3 - не изменять;3 - do not change;
2. при достижении верхей точки;2. when reaching the top point;
2-й элемент вектора - аргумент по строкам;2nd element of vector - argument by rows;
2 сигнал на 2 выходном порте;2 signal on 2 output port;
2 сигнал на 1 выходном порте;2 signals on 1 output port;
2 бака тест с блоком уточнения;2 tank test with clarification unit;
2 бака тест 1;2 grandmothers test 1;
2 бака аналогично исма;2 tanks similar to ISMA;
2 mass с уточнением;2 mass with clarification;
2 mass без уточнения;2 mass unspecified;
2 - пауза;2 - break;
2 - не изменяется;2 - does not change;
2 - закрывать медленно;2 - close slowly;
2 - близкая к нулю;2 - close to zero;
1/β_эфф;1/β_eff;
1/n ред.;1/n ed.;
1/(jнs)=;1/(Jнs)=;
1. при пересечении уставки;1. when crossing the set point;
1-й элемент вектора - аргумент по столбцам;1st element of vector - argument by columns;
1- закрывать быстро;1- close quickly;
1 сигнал на 2  выходном порте;1 signal on 2 output port;
1 сигнал на 1 выходном порте;1 signal on 1 output port;
1 - уменьшается;1 - decreases;
1 - работа;1 - work;
1 - отрицательная;1 - negative;
1 - гармонический сигнал;1 - harmonic signal;
1 - гармонический;1 - harmonic;
0 - сброс;0 - reset;
0 - меандр;0 - meander;
-1/передаточное отношение;-1/gear ratio;
(шим);(SHIM);
(тонкие настройки решения слау) общих настроек проекта выбран;(Fine-tuning the SLAE solution) general project settings selected;
(заданные - красн., свободные - голуб.);(set - red, free - blue);
(t), рад./с;(t), rad/s;
температура газа в полости;Gas temperature in the cavity;
перемещение поршня;Piston movement;
массовый расход газа через дроссель;Mass gas flow through the throttle;
заполнение;filling;
дренаж;drainage;
давление газа в полости;Gas pressure in the cavity;
время t, c;Time t, s;
абсолютное давление, мпа;Absolute pressure, MPa;
абсолютное давление рабочей среды в полости, мпа;Absolute pressure of the working medium in the cavity, MPa;
